,seed,model,lambda,d_model,er_loss,no_epochs,max_len,recall,precision,f1,accuracy,dataset,time
0,8,SDFA_NAP_model,0.1,8,True,10,5,0.8064321250888415,0.9068324402026544,0.8491419468803583,0.8064321250888415,bpi12,
1,8,SDFA_NAP_model,0.2,8,True,10,5,0.806680881307747,0.9072526399151192,0.8506760516985997,0.806680881307747,bpi12,
2,8,SDFA_NAP_model,0.5,8,True,10,5,0.8138770433546553,0.9201839218547128,0.8593684920611706,0.8138770433546553,bpi12,
3,8,SDFA_NAP_model,0.1,8,True,10,10,0.7503909026297086,0.873112269928835,0.7969424900207753,0.7503909026297086,bpi12,
4,8,SDFA_NAP_model,0.2,8,True,10,10,0.7542110874200426,0.8572021488271383,0.7941932389515474,0.7542110874200426,bpi12,
5,8,SDFA_NAP_model,0.5,8,True,10,10,0.725639658848614,0.8582258412416743,0.7705672589454061,0.725639658848614,bpi12,
6,8,SDFA_NAP_model,0.1,8,True,10,20,0.6328891257995736,0.7907962828908226,0.6929354168774435,0.6328891257995736,bpi12,
7,8,SDFA_NAP_model,0.2,8,True,10,20,0.7109275053304904,0.8299601234599445,0.7581226542229493,0.7109275053304904,bpi12,
8,8,SDFA_NAP_model,0.5,8,True,10,20,0.6146055437100213,0.7890336116554715,0.679537658866651,0.6146055437100213,bpi12,
9,8,SDFA_NAP_model,0.1,16,True,10,5,0.8399609097370292,0.91438076351292,0.8712618870725671,0.8399609097370292,bpi12,
10,8,SDFA_NAP_model,0.2,16,True,10,5,0.8278606965174129,0.9041504162963432,0.8594130896659078,0.8278606965174129,bpi12,
11,8,SDFA_NAP_model,0.5,16,True,10,5,0.8393567874911159,0.9172536300993284,0.8718494902788769,0.8393567874911159,bpi12,
12,8,SDFA_NAP_model,0.1,16,True,10,10,0.8017057569296375,0.8835459258503223,0.8348939719547037,0.8017057569296375,bpi12,
13,8,SDFA_NAP_model,0.2,16,True,10,10,0.7977434257285003,0.8869924305186018,0.8324117353650954,0.7977434257285003,bpi12,
14,8,SDFA_NAP_model,0.5,16,True,10,10,0.7825692963752665,0.8622276547625164,0.8123844982692953,0.7825692963752665,bpi12,
15,8,SDFA_NAP_model,0.1,16,True,10,20,0.7320717839374555,0.8179949183790652,0.7617686532642038,0.7320717839374555,bpi12,
