case:concept:name,time:timestamp,concept:name,event_idx,log_ts_pre,trace_ts_pre,trace_ts_start
1,2011-09-30 22:38:44.546000+00:00,2,1,0.0,0.0,0.0
1,2011-09-30 22:38:44.546000+00:00,4,2,0.0,0.0,0.0
1,2011-09-30 22:38:44.880000+00:00,5,3,0.027633735371771447,0.019474080509329795,0.01942477167841054
1,2011-09-30 22:39:37.906000+00:00,6,4,0.3825494012850126,0.2695906919276067,0.26932350806019756
1,2011-09-30 22:39:38.875000+00:00,7,5,0.06496787469900683,0.04578424181122224,0.2705144515213722
2,2011-10-01 06:08:58.256000+00:00,2,6,0.9782805235525023,0.0,0.0
2,2011-10-01 06:08:58.256000+00:00,4,7,0.0,0.0,0.0
2,2011-10-01 06:09:02.195000+00:00,5,8,0.15315177372659367,0.10792930928711986,0.10765602973174773
2,2011-10-01 06:09:56.648000+00:00,6,9,0.385049289368314,0.27135241618035677,0.2752908958997736
2,2011-10-01 06:09:59.578000+00:00,7,10,0.131238684598852,0.09248668974471505,0.278536758590485
3,2011-10-01 06:11:08.866000+00:00,2,11,0.407781452337483,0.0,0.0
3,2011-10-01 06:11:08.866000+00:00,4,12,0.0,0.0,0.0
3,2011-10-01 06:11:09.035000+00:00,5,13,0.014973080056223397,0.01055184768054912,0.0105251301534794
3,2011-10-01 06:11:46.420000+00:00,8,14,0.34977436581106597,0.24649342798811857,0.2461654155482027
3,2011-10-01 06:11:46.420000+00:00,3,15,0.0,0.0,0.2461654155482027
4,2011-10-01 06:15:39.894000+00:00,2,16,0.5233041860961979,0.0,0.0
4,2011-10-01 06:15:39.894000+00:00,4,17,0.0,0.0,0.0
4,2011-10-01 06:15:40.102000+00:00,5,18,0.018119938579034937,0.012769505749581068,0.012737173060002894
4,2011-10-01 06:16:21.037000+00:00,8,19,0.35825621422238024,0.2524707667954734,0.2521650088223358
4,2011-10-01 06:16:21.037000+00:00,3,20,0.0,0.0,0.2521650088223358
5,2011-10-01 07:45:25.806000+00:00,2,21,0.8231246386954298,0.0,0.0
5,2011-10-01 07:45:25.806000+00:00,4,22,0.0,0.0,0.0
5,2011-10-01 07:45:25.981000+00:00,5,23,0.01546398500436461,0.01089779882880742,0.010870205345275078
6,2011-10-01 07:45:37.274000+00:00,2,24,0.24059061129964862,0.0,0.0
6,2011-10-01 07:45:37.274000+00:00,4,25,0.0,0.0,0.0
6,2011-10-01 07:45:37.363000+00:00,5,26,0.008175557095328741,0.0057614888085558225,0.005746900583074873
5,2011-10-01 07:46:18.211000+00:00,6,27,0.35805707063796116,0.2685876487464695,0.26812881551431417
6,2011-10-01 07:46:18.623000+00:00,9,28,0.033082696766349805,0.25299246507153184,0.25249368758018503
5,2011-10-01 07:46:18.674000+00:00,7,29,0.004769763742022589,0.025711797216794258,0.268710667348907
7,2011-10-01 07:57:42.994000+00:00,2,30,0.6261500418516337,0.0,0.0
7,2011-10-01 07:57:42.994000+00:00,4,31,0.0,0.0,0.0
7,2011-10-01 07:57:43.182000+00:00,5,32,0.016519068501849695,0.011641338589091832,0.011611862445358714
7,2011-10-01 07:58:27.038000+00:00,6,33,0.3647131094284869,0.25702107805062413,0.25665220946172335
7,2011-10-01 07:58:27.403000+00:00,7,34,0.02983656407174305,0.021026460702393765,0.25719620005857025
8,2011-10-01 07:58:30.533000+00:00,2,35,0.13599846516737726,0.0,0.0
8,2011-10-01 07:58:30.533000+00:00,4,36,0.0,0.0,0.0
8,2011-10-01 07:58:30.678000+00:00,5,37,0.01298393580751779,0.009150055460901033,0.009126887304776425
