seed,local,quantile,model,lambda,d_model,er_loss,batch_size,no_epochs,rank_loss,sdfa_ce,avg_beam_dl_distance,avg_dl_distance,time,er_pred,er_target
56,FALSE,0.8,SDFA_suffix_model,0.1,16,TRUE,128,50,FALSE,FALSE,0.239885188,0.321341365,3.068263578,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,16,TRUE,32,50,FALSE,FALSE,0.27608133,0.321049163,7.907363564,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,16,TRUE,64,50,FALSE,FALSE,0.24644093,0.312375332,4.973722684,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,16,TRUE,128,50,FALSE,FALSE,0.229116884,0.312364728,3.513555256,0,0
56,FALSE,0.8,SDFA_suffix_model,0.1,16,TRUE,128,50,FALSE,TRUE,0.229097443,0.312376393,3.066076241,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,16,TRUE,32,50,FALSE,TRUE,0.247977593,0.308985684,7.95497487,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,16,TRUE,64,50,FALSE,TRUE,0.246470092,0.312380887,4.989149562,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,16,TRUE,128,50,FALSE,TRUE,0.229116884,0.312364728,3.524626757,0,0
56,FALSE,0.8,SDFA_suffix_model,0.2,16,TRUE,128,50,FALSE,FALSE,0.229097443,0.312376393,3.071045455,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,16,TRUE,32,50,FALSE,FALSE,0.260874673,0.313492265,7.913992967,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,16,TRUE,64,50,FALSE,FALSE,0.24644093,0.312380887,4.950042657,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,16,TRUE,128,50,FALSE,FALSE,0.229116884,0.312364728,3.478344302,0,0
56,FALSE,0.8,SDFA_suffix_model,0.2,16,TRUE,128,50,FALSE,TRUE,0.229116884,0.312364728,3.031509209,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,16,TRUE,32,50,FALSE,TRUE,0.259282465,0.308997349,7.813294563,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,16,TRUE,64,50,FALSE,TRUE,0.233685769,0.308077972,4.912032689,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,16,TRUE,128,50,FALSE,TRUE,0.229116884,0.312389724,3.465844568,0,0
56,FALSE,0.8,SDFA_suffix_model,0.5,16,TRUE,128,50,FALSE,FALSE,0.229116884,0.312364728,3.027670907,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,16,TRUE,32,50,FALSE,FALSE,0.260903834,0.313283045,7.773291378,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,16,TRUE,64,50,FALSE,FALSE,0.246470092,0.312375332,4.892076334,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,16,TRUE,128,50,FALSE,FALSE,0.228776669,0.312364728,3.454337911,0,0
56,FALSE,0.8,SDFA_suffix_model,0.5,16,TRUE,128,50,FALSE,TRUE,0.229116884,0.312364728,3.032096193,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,16,TRUE,32,50,FALSE,TRUE,0.248006754,0.308985684,7.813873522,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,16,TRUE,64,50,FALSE,TRUE,0.233685769,0.308077972,4.918525861,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,16,TRUE,128,50,FALSE,TRUE,0.229116884,0.312364728,3.472006801,0,0
56,FALSE,0.8,SDFA_suffix_model,0.1,32,TRUE,128,50,FALSE,FALSE,0.21466259,0.308079032,3.048222926,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,32,TRUE,32,50,FALSE,FALSE,0.2581199,0.30901068,7.820948869,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,32,TRUE,64,50,FALSE,FALSE,0.233685769,0.308102967,4.939500008,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,32,TRUE,128,50,FALSE,FALSE,0.214682031,0.308092363,3.477669761,0,0
56,FALSE,0.8,SDFA_suffix_model,0.1,32,TRUE,128,50,FALSE,TRUE,0.214682031,0.308092363,3.048353262,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,32,TRUE,32,50,FALSE,TRUE,0.248006754,0.30901068,7.86105282,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,32,TRUE,64,50,FALSE,TRUE,0.233685769,0.308102967,4.958658824,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,32,TRUE,128,50,FALSE,TRUE,0.214682031,0.308092363,3.488760485,0,0
56,FALSE,0.8,SDFA_suffix_model,0.2,32,TRUE,128,50,FALSE,FALSE,0.214682031,0.308092363,3.048160935,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,32,TRUE,32,50,FALSE,FALSE,0.2581199,0.30901068,7.822190757,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,32,TRUE,64,50,FALSE,FALSE,0.233685769,0.308102967,4.936656305,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,32,TRUE,128,50,FALSE,FALSE,0.214682031,0.308092363,3.475439352,0,0
56,FALSE,0.8,SDFA_suffix_model,0.2,32,TRUE,128,50,FALSE,TRUE,0.214682031,0.308092363,3.047411799,0,0
